Nr circumscripție,Circumscripție,cod_judet,Nume Partid,Partid,gen,Pozitie Buletin,Membru alianta,Nume,Prenume,Funcție,Pozitie lista,x
16,DAMBOVITA,DB,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,M,16,,MOLEAVIN,ADRIAN,S,1,DBREPERMOLEAVIN
5,BIHOR,BH,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,M,7,,MOȚ,ADRIAN,CD,2,BHADNMOȚ
13,CLUJ,CJ,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,5,,NAP,ADRIAN,S,2,CJAURNAP
5,BIHOR,BH,PARTIDUL SOCIAL DEMOCRAT,PSD,M,6,,NEGREA,ADRIAN,CD,5,BHPSDNEGREA
23,IALOMITA,IL,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,M,9,,NICHITA,ADRIAN,CD,4,ILS.O.S. RONICHITA
1,ALBA,AB,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,13,,NICOLA,ADRIAN,CD,1,ABPNCRNICOLA
4,BACAU,BC,PARTIDUL SOCIAL DEMOCRAT,PSD,M,5,,NISTOR,ADRIAN,CD,10,BCPSDNISTOR
24,IASI,IS,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,21,,OLARU,ADRIAN,CD,4,ISPNCROLARU
24,IASI,IS,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,DREPT,M,16,,POPA,ADRIAN,CD,10,ISDREPTPOPA
24,IASI,IS,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,M,14,,SLABU,ADRIAN,S,1,ISREPERSLABU
39,VASLUI,VS,PARTIDUL SOCIAL DEMOCRAT,PSD,M,5,,SOLOMON,ADRIAN,CD,1,VSPSDSOLOMON
42,Bucuresti,B,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,M,9,,ȘTEFĂNESCU,ADRIAN,CD,18,BPSDUȘTEFĂNESCU
42,Bucuresti,B,PARTIDUL SOCIAL DEMOCRAT,PSD,M,6,,STREINU CERCEL,ADRIAN,S,1,BPSDSTREINU CERCEL
25,ILFOV,IF,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,M,7,,TĂNASE,ADRIAN,S,2,IFPSDUTĂNASE
42,Bucuresti,B,PARTIDUL SOCIAL DEMOCRAT,PSD,M,6,,ȚUȚUIANU,ADRIAN,S,5,BPSDȚUȚUIANU
21,HARGHITA,HR,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,16,,URZICĂ,ADRIAN,CD,5,HRPNCRURZICĂ
19,GIURGIU,GR,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,M,14,,VASILE,ADRIAN,CD,1,GRPSDIVASILE
23,IALOMITA,IL,UNIUNEA SALVAȚI ROMÂNIA,USR,M,1,,VLAD,ADRIAN,CD,3,ILUSRVLAD
11,CARAS-SEVERIN,CS,FORȚA DREPTEI,FDREPTEI,M,6,,VLAD,ADRIAN,CD,7,CSFDREPTEIVLAD
42,Bucuresti,B,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,2,,VOITICI,ADRIAN,S,10,BAURVOITICI
2,ARAD,AR,UNIUNEA SALVAȚI ROMÂNIA,USR,M,5,,WIENER,ADRIAN,CD,1,ARUSRWIENER
14,CONSTANTA,CT,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,M,15,,ZAMOSTEANU,ADRIAN,CD,3,CTREPERZAMOSTEANU
10,BUZAU,BZ,PARTIDUL NAȚIONAL LIBERAL,PNL,M,2,,ZOICAN,ADRIAN,CD,4,BZPNLZOICAN
20,GORJ,GJ,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,5,,ZORLESCU,ADRIAN,CD,2,GJAURZORLESCU
34,SIBIU,SB,PARTIDUL NAȚIONAL LIBERAL,PNL,M,3,,VASIU,ADRIAN STEFAN HOREA,CD,6,SBPNLVASIU
4,BACAU,BC,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,M,11,,FULGA,ADRIAN-ALEXANDRU,CD,8,BCPSDUFULGA
22,HUNEDOARA,HD,FORȚA DREPTEI,FDREPTEI,M,1,,BUȚURCA,ADRIAN-ANDREI,S,4,HDFDREPTEIBUȚURCA
42,Bucuresti,B,PARTIDUL NAȚIONAL LIBERAL,PNL,M,3,,BETEA,ADRIAN-ANTONIU,CD,21,BPNLBETEA
