Nr circumscripție,Circumscripție,cod_judet,Nume Partid,Partid,gen,Pozitie Buletin,Membru alianta,Nume,Prenume,Funcție,Pozitie lista,x
16,DAMBOVITA,DB,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,9,,PANĂ-MANEA,ANAMARIA-ALEXANDRA,CD,6,DBROACTPANĂ-MANEA
8,BRASOV,BV,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,DREPT,F,15,,BURLACU,ANAMARIA-LARISA,CD,3,BVDREPTBURLACU
32,SATU MARE,SM,PARTIDUL ECOLOGIST ROMÂN,PER,F,7,,MUREȘAN,ANAMARIA-LAVINIA,S,1,SMPERMUREȘAN
19,GIURGIU,GR,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,F,9,,STOICA,ANAMARIA-LORENA,CD,3,GRPSDUSTOICA
40,VALCEA,VL,PARTIDUL NAȚIONAL LIBERAL,PNL,F,4,,ANDRONACHE,ANAMARIA-MĂDĂLINA,S,3,VLPNLANDRONACHE
13,CLUJ,CJ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,F,6,,KOVRIG,ANAMARIA-MAGDALENA,CD,4,CJUDMRKOVRIG
6,BISTRITA-NASAUD,BN,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,17,,RUSU,ANAMARIA-MIHAELA,CD,6,BNROACTRUSU
42,Bucuresti,B,UNIUNEA SALVAȚI ROMÂNIA,USR,F,5,,RENIUȚ,ANAMARIA-NAOMI,S,12,BUSRRENIUȚ
23,IALOMITA,IL,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,15,,CINZEACĂ,ANCA,CD,2,ILANCCINZEACĂ
7,BOTOSANI,BT,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,16,,ILIE,ANCA,S,3,BTROACTILIE
34,SIBIU,SB,PARTIDUL OAMENILOR TINERI,POT,F,20,,KRONCSIȘ-BRUDA,ANCA,CD,2,SBPOTKRONCSIȘ-BRUDA
1,ALBA,AB,PARTIDUL REPUBLICAN DIN ROMÂNIA,PRRO,F,16,,STUPARU,ANCA,CD,1,ABPRROSTUPARU
42,Bucuresti,B,UNIUNEA SALVAȚI ROMÂNIA,USR,F,5,,IORDACHE-SABO,ANCA-ALEXANDRA,S,7,BUSRIORDACHE-SABO
5,BIHOR,BH,PARTIDUL SOCIAL DEMOCRAT,PSD,F,6,,RUSE,ANCA-ALEXANDRA,CD,12,BHPSDRUSE
13,CLUJ,CJ,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,9,,POP,ANCA-AMALIA,CD,11,CJS.O.S. ROPOP
29,NEAMT,NT,PARTIDUL SOCIAL DEMOCRAT,PSD,F,2,,SANDU,ANCA-ANDREEA,CD,3,NTPSDSANDU
18,GALATI,GL,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,5,,NIȚĂ,ANCA-ANGELICA,S,3,GLAURNIȚĂ
3,ARGES,AG,PARTIDUL SOCIAL DEMOCRAT,PSD,F,2,,STOICULESCU,ANCA-ANNE-MARIE,CD,7,AGPSDSTOICULESCU
27,MEHEDINTI,MH,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,7,,TĂMÎȘI,ANCA-AURORA,CD,5,MHS.O.S. ROTĂMÎȘI
28,MURES,MS,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,F,16,,NĂSTASE,ANCA-CERASELA,S,3,MSADNNĂSTASE
33,SALAJ,SJ,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,11,,BORDAȘ,ANCA-CLAUDIA,CD,3,SJS.O.S. ROBORDAȘ
31,PRAHOVA,PH,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,DREPT,F,16,,CHIPER,ANCA-CORINA,CD,9,PHDREPTCHIPER
42,Bucuresti,B,PARTIDUL SOCIAL DEMOCRAT,PSD,F,6,,RAICIU,ANCA-DANIELA,S,10,BPSDRAICIU
42,Bucuresti,B,PARTIDUL NAȚIONAL LIBERAL,PNL,F,3,,GEAMĂNĂ,ANCA-ELENA,CD,25,BPNLGEAMĂNĂ
17,DOLJ,DJ,PATRIOȚII POPORULUI ROMÂN,PPR,F,8,,DRESEN,ANCA-EMILIA,S,2,DJPPRDRESEN
20,GORJ,GJ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,F,16,,CRUCERU,ANCA-FLORINA,CD,3,GJPSDICRUCERU
42,Bucuresti,B,PARTIDUL NAȚIONAL LIBERAL,PNL,F,3,,PARCIULEA,ANCA-GABRIELA,S,16,BPNLPARCIULEA
8,BRASOV,BV,PARTIDUL NAȚIONAL LIBERAL,PNL,F,5,,SIMION,ANCA-GEORGIANA,CD,10,BVPNLSIMION
17,DOLJ,DJ,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,1,,KOÇ,ANCA-GINA,S,3,DJAURKOÇ
31,PRAHOVA,PH,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,2,,MANU,ANCA-LIGIA,CD,9,PHAURMANU
17,DOLJ,DJ,PARTIDUL OAMENILOR TINERI,POT,F,15,,GHINDEANU,ANCA-LIUȚA,CD,3,DJPOTGHINDEANU
33,SALAJ,SJ,PARTIDUL SOCIAL DEMOCRAT,PSD,F,6,,IRIMIEA,ANCA-MANUELA,CD,6,SJPSDIRIMIEA
37,TIMIS,TM,FORȚA DREPTEI,FDREPTEI,F,2,,BĂLOI,ANCA-MARIA,CD,7,TMFDREPTEIBĂLOI
5,BIHOR,BH,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,1,,POPA,ANCA-MARIA,CD,4,BHAURPOPA
2,ARAD,AR,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,F,12,,DICU,ANCA-MIHAELA,S,2,ARPNCRDICU
26,MARAMURES,MM,PARTIDUL NAȚIONAL LIBERAL,PNL,F,1,,COSTIN-HENDEA,ANCA-MINODORA,S,3,MMPNLCOSTIN-HENDEA
12,CALARASI,CL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,F,8,,GHEDZIRA,ANCA-TATIANA,CD,1,CLPNCRGHEDZIRA
42,Bucuresti,B,FORȚA DREPTEI,FDREPTEI,F,1,,DOBROTĂ,ANCUȚA,S,6,BFDREPTEIDOBROTĂ
37,TIMIS,TM,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,15,,POTRA,ANCUȚA,CD,3,TMROACTPOTRA
9,BRAILA,BR,PATRIOȚII POPORULUI ROMÂN,PPR,F,11,,SERGHEI,ANCUȚA,CD,6,BRPPRSERGHEI
5,BIHOR,BH,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,F,7,,TUȘ,ANCUȚA,CD,5,BHADNTUȘ
32,SATU MARE,SM,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,4,,MORAR,ANCUȚA-AURELIA,S,3,SMAURMORAR
2,ARAD,AR,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,6,,DĂRĂU,ANCUȚA-ELENA,CD,6,ARAURDĂRĂU
24,IASI,IS,PARTIDUL OAMENILOR TINERI,POT,F,15,,IRIMIA,ANCUȚA-FLORINA,CD,1,ISPOTIRIMIA
5,BIHOR,BH,PARTIDUL NAȚIONAL LIBERAL,PNL,F,4,,ȘCHIOP,ANCUȚA-FLORINA,S,3,BHPNLȘCHIOP
42,Bucuresti,B,PARTIDUL SOCIAL DEMOCRAT,PSD,F,6,,COMĂNICI,ANCUȚA-SORINA,CD,10,BPSDCOMĂNICI
17,DOLJ,DJ,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,18,,BUTIUC,ANDA,CD,4,DJROACTBUTIUC
31,PRAHOVA,PH,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,8,,MOCANU,ANDA-ELENA,CD,1,PHANCMOCANU
33,SALAJ,SJ,PARTIDUL SOCIAL DEMOCRAT,PSD,F,6,,CIOBANU,ANDA-MARIA,CD,3,SJPSDCIOBANU
38,TULCEA,TL,PARTIDUL SOCIAL DEMOCRAT,PSD,F,1,,LUCA,ANDALUZIA,S,3,TLPSDLUCA
9,BRAILA,BR,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,13,,SÎRBU,ANDI-MIRCEA,CD,2,BRPNCRSÎRBU
40,VALCEA,VL,PARTIDUL SOCIAL DEMOCRAT,PSD,F,2,,BICĂ,ANDRA,S,1,VLPSDBICĂ
42,Bucuresti,B,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,F,23,,DUȚU,ANDRA-CAMELIA,CD,6,BPSDIDUȚU
9,BRAILA,BR,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,16,,CONSTANTINESCU,ANDRA-CLAUDIA,CD,1,BRS.O.S. ROCONSTANTINESCU
14,CONSTANTA,CT,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,6,,MORAR,ANDRA-DIANA,CD,6,CTAURMORAR
4,BACAU,BC,PARTIDUL OAMENILOR TINERI,POT,F,10,,HLEVA,ANDRA-IULIA,CD,3,BCPOTHLEVA
14,CONSTANTA,CT,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,F,21,,BOGUȘ,ANDRA-LIDIA,CD,13,CTPSDIBOGUȘ
8,BRASOV,BV,PARTIDUL SOCIAL DEMOCRAT,PSD,F,2,,ALDEA,ANDRA-MARIA,CD,12,BVPSDALDEA
27,MEHEDINTI,MH,PARTIDUL SOCIAL DEMOCRAT,PSD,F,1,,TURBAT,ANDRADA-CARMINA,CD,4,MHPSDTURBAT
37,TIMIS,TM,PARTIDUL NAȚIONAL LIBERAL,PNL,F,4,,IOVA,ANDRADA-IASMINA,CD,6,TMPNLIOVA
43,Diaspora,diaspora,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,7,,DĂOGARU-CREȚANU,ANDRADA-VIORICA,S,3,diasporaREPERDĂOGARU-CREȚANU
28,MURES,MS,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,M,18,,STOICA,ANDRAS,CD,4,MSPSDISTOICA
30,OLT,OT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,1,,BENEDEK,ANDRÁS,CD,5,OTUDMRBENEDEK
5,BIHOR,BH,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,2,,BERHENCZ,ANDRÁS,CD,12,BHUDMRBERHENCZ
27,MEHEDINTI,MH,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,4,,DOMOCOS,ANDRÁS,CD,5,MHUDMRDOMOCOS
31,PRAHOVA,PH,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,4,,KULCSÁR-SZABÓ,ANDRÁS,S,4,PHUDMRKULCSÁR-SZABÓ
20,GORJ,GJ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,3,,NAGY,ANDRÁS,CD,2,GJUDMRNAGY
17,DOLJ,DJ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,5,,VARGA,ANDRÁS-ADORJÁN,CD,4,DJUDMRVARGA
25,ILFOV,IF,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,4,,DEMETER,ANDRAS-ISTVAN,CD,1,IFUDMRDEMETER
23,IALOMITA,IL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,4,,MAIOR,ANDRÁS-LAJOS,CD,5,ILUDMRMAIOR
3,ARGES,AG,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,M,3,,KOVACS,ANDRÁS-SÁNDOR,CD,7,AGUDMRKOVACS
15,COVASNA,CV,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,DREPT,M,9,,BETHLENDI,ANDRÁS-ZOLTÁN,CD,1,CVDREPTBETHLENDI
23,IALOMITA,IL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,F,4,,AMBRUS,ANDREA,CD,6,ILUDMRAMBRUS
20,GORJ,GJ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,F,3,,CIAVOI,ANDREA-HAJNALKA,S,3,GJUDMRCIAVOI
34,SIBIU,SB,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,F,7,,TOMOȘ,ANDREA-IOANA,CD,4,SBPSDITOMOȘ
32,SATU MARE,SM,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,11,,BOLOGA,ANDREA-MARIA,S,2,SMROACTBOLOGA
9,BRAILA,BR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,F,4,,KRANOWSZKY-NAGY,ANDREA-SZILVIA,S,4,BRUDMRKRANOWSZKY-NAGY
26,MARAMURES,MM,PARTIDUL SOCIAL DEMOCRAT,PSD,M,2,,FRIEDL,ANDREAS,CD,6,MMPSDFRIEDL
31,PRAHOVA,PH,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,F,12,,ANDREESCU,ANDREEA,CD,6,PHPSDUANDREESCU
29,NEAMT,NT,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,15,,ARMAȘU,ANDREEA,CD,2,NTREPERARMAȘU
28,MURES,MS,PARTIDUL SOCIAL DEMOCRAT,PSD,F,4,,BALIND,ANDREEA,CD,10,MSPSDBALIND
8,BRASOV,BV,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,3,,BURGHIU,ANDREEA,CD,10,BVAURBURGHIU
42,Bucuresti,B,PARTIDUL NAȚIONAL LIBERAL,PNL,F,3,,CIOACĂ,ANDREEA,CD,37,BPNLCIOACĂ
23,IALOMITA,IL,PARTIDUL NAȚIONAL LIBERAL,PNL,F,2,,CONESCU,ANDREEA,CD,5,ILPNLCONESCU
27,MEHEDINTI,MH,PATRIOȚII POPORULUI ROMÂN,PPR,F,15,,DUMITRU,ANDREEA,S,1,MHPPRDUMITRU
33,SALAJ,SJ,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,11,,EMBER,ANDREEA,S,3,SJREPEREMBER
6,BISTRITA-NASAUD,BN,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,11,,GURUIȚĂ,ANDREEA,CD,3,BNANCGURUIȚĂ
29,NEAMT,NT,ROMÂNIA SOCIALISTĂ,PRS,F,8,ROMÂNIA SOCIALISTĂ,LUNGU,ANDREEA,CD,8,NTPRSLUNGUROMÂNIA SOCIALISTĂ
37,TIMIS,TM,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,1,,MEDIȘANU,ANDREEA,CD,5,TMAURMEDIȘANU
4,BACAU,BC,UNIUNEA SALVAȚI ROMÂNIA,USR,F,3,,NEGRU,ANDREEA,CD,2,BCUSRNEGRU
28,MURES,MS,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,8,,ROTARU,ANDREEA,CD,10,MSANCROTARU
32,SATU MARE,SM,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,9,,STELEA,ANDREEA,S,1,SMANCSTELEA
4,BACAU,BC,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE,SENS,F,14,,UNGUREANU,ANDREEA,CD,1,BCSENSUNGUREANU
3,ARGES,AG,FORȚA DREPTEI,FDREPTEI,F,1,,ZABARI,ANDREEA,CD,8,AGFDREPTEIZABARI
17,DOLJ,DJ,PATRIOȚII POPORULUI ROMÂN,PPR,F,8,,STAICU,ANDREEA-ALEXANDRA,CD,2,DJPPRSTAICU
5,BIHOR,BH,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,F,11,,MĂRGHIDANU,ANDREEA-ALINA,CD,2,BHPSDUMĂRGHIDANU
37,TIMIS,TM,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,18,,VLAD,ANDREEA-ALINA,CD,5,TMANCVLAD
1,ALBA,AB,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,10,,VELICIU,ANDREEA-ANA-MARIA,CD,5,ABS.O.S. ROVELICIU
26,MARAMURES,MM,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,5,,TOMȘA,ANDREEA-ANAMARIA,CD,5,MMAURTOMȘA
14,CONSTANTA,CT,UNIUNEA SALVAȚI ROMÂNIA,USR,F,3,,SFRENȚ,ANDREEA-ANCA,CD,7,CTUSRSFRENȚ
18,GALATI,GL,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,18,,STATE,ANDREEA-CODRINA,S,1,GLROACTSTATE
18,GALATI,GL,PARTIDUL OAMENILOR TINERI,POT,F,10,,NEGRU,ANDREEA-CRISTIANA,S,1,GLPOTNEGRU
19,GIURGIU,GR,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,11,,SAVU,ANDREEA-CRISTINA,CD,5,GRROACTSAVU
12,CALARASI,CL,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,1,,IOAN,ANDREEA-DANIELA,CD,4,CLAURIOAN
28,MURES,MS,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,8,,JORDACHE,ANDREEA-DELIA,CD,8,MSANCJORDACHE
11,CARAS-SEVERIN,CS,FORȚA DREPTEI,FDREPTEI,F,6,,APETREI,ANDREEA-DIANA,CD,3,CSFDREPTEIAPETREI
35,SUCEAVA,SV,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,11,,OLARU,ANDREEA-DIANA,CD,7,SVROACTOLARU
3,ARGES,AG,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,21,,DOROBANȚU,ANDREEA-ELENA,CD,2,AGREPERDOROBANȚU
42,Bucuresti,B,PARTIDUL NAȚIONAL LIBERAL,PNL,F,3,,PĂDURARU,ANDREEA-ELENA,S,13,BPNLPĂDURARU
42,Bucuresti,B,FORȚA DREPTEI,FDREPTEI,F,1,,SLAVU,ANDREEA-ELENA,CD,20,BFDREPTEISLAVU
5,BIHOR,BH,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,F,9,,MILITARU,ANDREEA-ELISABETA,S,6,BHPNCRMILITARU
29,NEAMT,NT,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,6,,NEACȘU,ANDREEA-FIRUȚA,CD,2,NTAURNEACȘU
40,VALCEA,VL,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,F,8,,MELCEA,ANDREEA-FLORINA,CD,2,VLPSDIMELCEA
42,Bucuresti,B,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,F,8,,DOBRIN,ANDREEA-GEORGIANA,CD,10,BADNDOBRIN
22,HUNEDOARA,HD,PARTIDUL NAȚIONAL LIBERAL,PNL,F,6,,ARDELEANU,ANDREEA-GIORGIANA,S,3,HDPNLARDELEANU
27,MEHEDINTI,MH,FORȚA DREPTEI,FDREPTEI,F,2,,CALONFIRESCU,ANDREEA-GIORGIANA,CD,3,MHFDREPTEICALONFIRESCU
42,Bucuresti,B,UNIUNEA SALVAȚI ROMÂNIA,USR,F,5,,WEINERICH,ANDREEA-HELENA,CD,29,BUSRWEINERICH
8,BRASOV,BV,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,3,,POPA,ANDREEA-ILONA,CD,7,BVAURPOPA
42,Bucuresti,B,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,F,16,,BUTARU,ANDREEA-IOANA,S,5,BPNCRBUTARU
8,BRASOV,BV,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,F,17,,DIMA,ANDREEA-IOANA,S,3,BVPSDIDIMA
33,SALAJ,SJ,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,F,1,,LUCACI,ANDREEA-IOANA,CD,2,SJAURLUCACI
13,CLUJ,CJ,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,14,,STRETEA,ANDREEA-IRINA,CD,8,CJROACTSTRETEA
42,Bucuresti,B,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,13,,LEONTE,ANDREEA-IULIANA,CD,3,BREPERLEONTE
42,Bucuresti,B,UNIUNEA SALVAȚI ROMÂNIA,USR,F,5,,MORARU,ANDREEA-IULIANA,CD,19,BUSRMORARU
40,VALCEA,VL,UNIUNEA SALVAȚI ROMÂNIA,USR,F,3,,UDREA,ANDREEA-IULIANA,CD,2,VLUSRUDREA
14,CONSTANTA,CT,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,F,13,,BUȘILĂ,ANDREEA-LĂCRĂMIOARA,CD,6,CTADNBUȘILĂ
11,CARAS-SEVERIN,CS,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,F,12,,MUNTEANU,ANDREEA-LIGIA,S,2,CSPSDIMUNTEANU
3,ARGES,AG,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,23,,MIHAI,ANDREEA-LUIZA,CD,9,AGS.O.S. ROMIHAI
40,VALCEA,VL,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,14,,STOLNICU,ANDREEA-LUIZA,CD,1,VLANCSTOLNICU
3,ARGES,AG,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,15,,AVRAM,ANDREEA-MARIA,CD,3,AGROACTAVRAM
6,BISTRITA-NASAUD,BN,UNIUNEA SALVAȚI ROMÂNIA,USR,F,5,,CICAI,ANDREEA-MARIA,CD,4,BNUSRCICAI
26,MARAMURES,MM,FORȚA DREPTEI,FDREPTEI,F,3,,CRĂCIUN,ANDREEA-MARIA,S,5,MMFDREPTEICRĂCIUN
35,SUCEAVA,SV,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,11,,GUZGĂ,ANDREEA-MARIA,S,2,SVROACTGUZGĂ
5,BIHOR,BH,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,F,7,,LUCACI,ANDREEA-MARIA,CD,4,BHADNLUCACI
4,BACAU,BC,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,F,18,,MUNTEANU,ANDREEA-MARIA,S,3,BCADNMUNTEANU
39,VASLUI,VS,UNIUNEA SALVAȚI ROMÂNIA,USR,F,1,,VASLUIANU,ANDREEA-MARIANA,CD,5,VSUSRVASLUIANU
25,ILFOV,IF,PARTIDUL SOCIAL DEMOCRAT,PSD,F,3,,CONSTANTINESCU,ANDREEA-MARINA,S,1,IFPSDCONSTANTINESCU
29,NEAMT,NT,UNIUNEA SALVAȚI ROMÂNIA,USR,F,1,,ADĂMOAE-MANOLE,ANDREEA-MIHAELA,S,5,NTUSRADĂMOAE-MANOLE
24,IASI,IS,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,9,,MĂMĂLIGĂ,ANDREEA-MIHAELA,S,7,ISROACTMĂMĂLIGĂ
29,NEAMT,NT,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,F,16,,UNGUREANU,ANDREEA-MIHAELA,CD,6,NTROACTUNGUREANU
12,CALARASI,CL,PARTIDUL SOCIAL DEMOCRAT,PSD,F,5,,TACHE,ANDREEA-MIRELA,CD,4,CLPSDTACHE
7,BOTOSANI,BT,UNIUNEA SALVAȚI ROMÂNIA,USR,F,4,,TURICEANU,ANDREEA-NICOLETA,CD,8,BTUSRTURICEANU
37,TIMIS,TM,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,12,,DANILIUC,ANDREEA-OTILIA,S,4,TMREPERDANILIUC
39,VASLUI,VS,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,12,,BLĂJUȚ,ANDREEA-PAULA,S,1,VSREPERBLĂJUȚ
43,Diaspora,diaspora,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,10,,CÎMPIANU,ANDREEA-PETRONELA,CD,1,diasporaS.O.S. ROCÎMPIANU
21,HARGHITA,HR,PARTIDUL OAMENILOR TINERI,POT,F,13,,CHIRIACHIDE,ANDREEA-RAMONA,S,1,HRPOTCHIRIACHIDE
34,SIBIU,SB,PARTIDUL SOCIAL DEMOCRAT,PSD,F,2,,FRÎNCU,ANDREEA-RAMONA,S,5,SBPSDFRÎNCU
34,SIBIU,SB,PARTIDUL NAȚIONAL LIBERAL,PNL,F,3,,BUNESCU,ANDREEA-ROXANA,S,5,SBPNLBUNESCU
3,ARGES,AG,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,21,,NAIE,ANDREEA-ROXANA,CD,5,AGREPERNAIE
34,SIBIU,SB,UNIUNEA SALVAȚI ROMÂNIA,USR,F,6,,PIRCU,ANDREEA-ROXANA,CD,3,SBUSRPIRCU
14,CONSTANTA,CT,UNIUNEA SALVAȚI ROMÂNIA,USR,F,3,,ARVENTE,ANDREEA-ȘTEFANIA,CD,14,CTUSRARVENTE
25,ILFOV,IF,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,F,16,,ARMEANU,ANDREEA-VALENTINA,S,3,IFPSDIARMEANU
39,VASLUI,VS,PARTIDUL SOCIAL DEMOCRAT,PSD,M,5,,ALEXANDRU,ANDREI,CD,5,VSPSDALEXANDRU
7,BOTOSANI,BT,PARTIDUL SOCIAL DEMOCRAT,PSD,M,3,,AROȘCULESEI,ANDREI,CD,6,BTPSDAROȘCULESEI
1,ALBA,AB,PARTIDUL OAMENILOR TINERI,POT,M,7,,BARNA,ANDREI,S,1,ABPOTBARNA
22,HUNEDOARA,HD,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE,SENS,M,13,,BORZA,ANDREI,CD,1,HDSENSBORZA
13,CLUJ,CJ,PARTIDUL SOCIAL DEMOCRAT,PSD,M,1,,BRADEA,ANDREI,CD,8,CJPSDBRADEA
21,HARGHITA,HR,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,3,,BRATU,ANDREI,CD,4,HRAURBRATU
14,CONSTANTA,CT,UNIUNEA SALVAȚI ROMÂNIA,USR,M,3,,BRIGHIDĂU,ANDREI,CD,4,CTUSRBRIGHIDĂU
29,NEAMT,NT,FORȚA DREPTEI,FDREPTEI,M,5,,CARABELEA,ANDREI,S,1,NTFDREPTEICARABELEA
24,IASI,IS,UNIUNEA SALVAȚI ROMÂNIA,USR,M,4,,CHIRICA,ANDREI,S,5,ISUSRCHIRICA
24,IASI,IS,FORȚA DREPTEI,FDREPTEI,M,1,,CIOBANU,ANDREI,CD,3,ISFDREPTEICIOBANU
25,ILFOV,IF,UNIUNEA SALVAȚI ROMÂNIA,USR,M,5,,CODREANU,ANDREI,S,3,IFUSRCODREANU
14,CONSTANTA,CT,FORȚA DREPTEI,FDREPTEI,M,2,,COVAL,ANDREI,S,7,CTFDREPTEICOVAL
6,BISTRITA-NASAUD,BN,PARTIDUL OAMENILOR TINERI,POT,M,7,,CSILLAG,ANDREI,CD,1,BNPOTCSILLAG
24,IASI,IS,PARTIDUL NAȚIONAL LIBERAL,PNL,M,2,,DASCĂLU,ANDREI,S,7,ISPNLDASCĂLU
42,Bucuresti,B,PARTIDUL SOCIAL DEMOCRAT,PSD,M,6,,DOLINEASCHI,ANDREI,CD,6,BPSDDOLINEASCHI
31,PRAHOVA,PH,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,M,19,,DRĂGHICI,ANDREI,CD,3,PHROACTDRĂGHICI
